nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
PI;1993;;13.0;;55.0;104.0;;47;26.0;19.0;;117.0;8;;;4.0;30
PR;1993;;138.0;;567.0;1099.0;;505;586.0;320.0;;1237.0;62;;;53.0;639
RJ;1993;;381.0;;2557.0;4972.0;;2431;4062.0;2197.0;;5367.0;124;;;256.0;4326
RN;1993;;21.0;;128.0;222.0;;119;137.0;81.0;;243.0;9;;;14.0;151
RO;1993;;55.0;;208.0;439.0;;183;256.0;125.0;;498.0;23;;;24.0;280
RR;1993;;4.0;;26.0;63.0;;22;39.0;16.0;;69.0;3;;;3.0;43
RS;1993;;113.0;;565.0;1064.0;;516;637.0;369.0;;1177.0;49;;;50.0;687
SC;1993;;34.0;;159.0;337.0;;146;163.0;81.0;;371.0;13;;;12.0;175
SE;1993;;25.0;;159.0;286.0;;151;155.0;5077.0;;312.0;8;;;10.0;165
SP;1993;;726.0;;5183.0;8498.0;;4858;3451.0;2304.0;;9224.0;325;;;232.0;3683
TO;1993;;12.0;;37.0;81.0;;30;24.0;12.0;;93.0;7;;;3.0;27
AC;1994;;11.0;;48.0;77.0;;43;36.0;23.0;;88.0;5;;;5.0;41
AL;1994;;48.0;;257.0;567.0;;236;360.0;166.0;;615.0;21;;;24.0;384
AM;1994;;27.0;;231.0;359.0;;218;171.0;110.0;;387.0;13;;;13.0;184
AP;1994;;16.0;;69.0;109.0;;63;49.0;33.0;;125.0;6;;;4.0;53
BA;1994;;180.0;;963.0;1551.0;;880;1073.0;716.0;;1739.0;82;;;88.0;1164
CE;1994;;59.0;;308.0;573.0;;284;238.0;123.0;;636.0;22;;;21.0;260
DF;1994;;50.0;;322.0;505.0;;301;354.0;250.0;;556.0;21;;;33.0;387
ES;1994;;108.0;;517.0;1053.0;;476;549.0;300.0;;1166.0;41;;;46.0;596
GO;1994;;93.0;;363.0;681.0;;327;401.0;227.0;;774.0;36;;;41.0;442
MA;1994;;24.0;;136.0;289.0;;130;114.0;65.0;;314.0;6;;;6.0;121
MG;1994;;170.0;;525.0;941.0;;448;409.0;256.0;;1118.0;74;;;50.0;460
MS;1994;;48.0;;233.0;472.0;;208;264.0;138.0;;522.0;24;;;19.0;283
MT;1994;;20.0;;113.0;296.0;;109;138.0;56.0;;316.0;4;;;7.0;145
PA;1994;;59.0;;362.0;657.0;;333;377.0;217.0;;716.0;29;;;36.0;413
PB;1994;;28.0;;204.0;354.0;;193;172.0;98.0;;385.0;9;;;16.0;188
PE;1994;;191.0;;1381.0;2399.0;;1300;1784.0;1068.0;;2593.0;80;;;113.0;1897
PI;1994;;10.0;;54.0;89.0;;49;31.0;19.0;;99.0;5;;;1.0;32
PR;1994;;130.0;;570.0;1130.0;;516;650.0;356.0;;1260.0;54;;;58.0;708
RJ;1994;;491.0;;3091.0;5922.0;;2909;5080.0;2779.0;;6420.0;181;;;344.0;5430
RN;1994;;19.0;;107.0;191.0;;99;111.0;66.0;;211.0;7;;;6.0;117
RO;1994;;37.0;;169.0;360.0;;153;202.0;95.0;;399.0;16;;;17.0;221
RR;1994;;6.0;;31.0;72.0;;29;47.0;18.0;;78.0;2;;;2.0;49
RS;1994;;138.0;;644.0;1196.0;;588;720.0;426.0;;1334.0;56;;;70.0;790
SC;1994;;45.0;;150.0;301.0;;131;145.0;71.0;;346.0;19;;;9.0;154
SE;1994;;32.0;;181.0;307.0;;167;190.0;5980.0;;344.0;14;;;21.0;213
SP;1994;;787.0;;5915.0;9194.0;;5546;3868.0;2645.0;;9981.0;369;;;259.0;4127
TO;1994;;13.0;;50.0;95.0;;42;25.0;12.0;;109.0;8;;;5.0;30
AC;1995;;16.0;;52.0;86.0;;47;48.0;32.0;;103.0;5;;;9.0;57
AL;1995;;62.0;;291.0;680.0;;262;447.0;203.0;;742.0;29;;;38.0;485
AM;1995;;42.0;;242.0;383.0;;221;170.0;113.0;;425.0;21;;;14.0;184
AP;1995;;11.0;;72.0;113.0;;70;54.0;34.0;;124.0;2;;;3.0;57
BA;1995;;165.0;;783.0;1360.0;;723;978.0;604.0;;1536.0;57;;;79.0;1067
CE;1995;;55.0;;424.0;790.0;;406;341.0;195.0;;845.0;18;;;18.0;359
DF;1995;;57.0;;358.0;572.0;;329;417.0;288.0;;629.0;29;;;27.0;444
ES;1995;;123.0;;569.0;1031.0;;512;557.0;347.0;;1154.0;57;;;53.0;610
GO;1995;;129.0;;345.0;652.0;;291;376.0;208.0;;784.0;54;;;61.0;439
MA;1995;;40.0;;173.0;344.0;;154;152.0;79.0;;385.0;19;;;10.0;163
MG;1995;;145.0;;566.0;1057.0;;511;558.0;325.0;;1214.0;52;;;46.0;607
MS;1995;;51.0;;283.0;582.0;;264;388.0;208.0;;636.0;18;;;22.0;411
MT;1995;;66.0;;214.0;516.0;;181;297.0;112.0;;583.0;33;;;25.0;322
PA;1995;;59.0;;321.0;641.0;;300;362.0;183.0;;700.0;21;;;25.0;387
PB;1995;;66.0;;235.0;391.0;;198;210.0;131.0;;457.0;37;;;29.0;239
PE;1995;;205.0;;1372.0;2498.0;;1274;1942.0;1127.0;;2706.0;96;;;128.0;2073
PI;1995;;19.0;;53.0;95.0;;44;40.0;28.0;;114.0;9;;;7.0;47
PR;1995;;163.0;;666.0;1223.0;;595;748.0;445.0;;1387.0;71;;;79.0;827
RJ;1995;;587.0;;4129.0;7617.0;;3914;6240.0;3567.0;;8218.0;214;;;408.0;6659
RN;1995;;30.0;;106.0;217.0;;97;127.0;66.0;;247.0;9;;;15.0;142
RO;1995;;37.0;;132.0;292.0;;122;147.0;79.0;;330.0;10;;;12.0;160
RR;1995;;8.0;;46.0;79.0;;41;49.0;28.0;;87.0;5;;;1.0;50
RS;1995;;151.0;;668.0;1288.0;;604;884.0;494.0;;1439.0;64;;;89.0;973
SC;1995;;48.0;;175.0;372.0;;155;197.0;94.0;;420.0;20;;;21.0;218
SE;1995;;27.0;;124.0;227.0;;113;121.0;7333.0;;255.0;11;;;10.0;132
SP;1995;;959.0;;6486.0;10596.0;;6030;4791.0;3094.0;;11555.0;456;;;368.0;5159
TO;1995;;5.0;;39.0;72.0;;35;32.0;15.0;;77.0;4;;;3.0;35
AC;1996;0.0;15.0;1.0;49.0;89.0;1.0;42;56.0;28.0;0.0;104.0;7;0.0;0.0;5.0;61
AL;1996;0.0;70.0;0.0;327.0;671.0;0.0;295;472.0;233.0;0.0;741.0;32;0.0;0.0;43.0;515
AM;1996;0.0;33.0;0.0;261.0;417.0;0.0;245;204.0;132.0;0.0;450.0;16;0.0;0.0;16.0;220
AP;1996;0.0;16.0;0.0;91.0;141.0;0.0;80;80.0;54.0;0.0;157.0;11;0.0;0.0;9.0;89
BA;1996;0.0;176.0;0.0;1001.0;1707.0;0.0;918;1368.0;854.0;0.0;1883.0;83;0.0;0.0;120.0;1488
CE;1996;0.0;84.0;0.0;443.0;793.0;0.0;405;320.0;192.0;0.0;885.0;36;0.0;0.0;29.0;351
DF;1996;0.0;52.0;0.0;335.0;562.0;0.0;308;402.0;268.0;0.0;615.0;27;0.0;0.0;32.0;435
ES;1996;0.0;123.0;0.0;573.0;1067.0;0.0;518;597.0;351.0;0.0;1191.0;54;0.0;0.0;63.0;661
GO;1996;0.0;119.0;0.0;346.0;663.0;0.0;291;403.0;223.0;0.0;782.0;55;0.0;0.0;66.0;469
MA;1996;0.0;31.0;0.0;162.0;330.0;0.0;148;174.0;88.0;0.0;363.0;14;0.0;0.0;12.0;187
MG;1996;0.0;185.0;2.0;579.0;1075.0;2.0;501;559.0;336.0;0.0;1261.0;77;0.0;0.0;87.0;647
MS;1996;0.0;79.0;0.0;318.0;642.0;0.0;285;418.0;223.0;0.0;722.0;33;0.0;0.0;49.0;468
MT;1996;0.0;87.0;0.0;269.0;568.0;0.0;229;386.0;196.0;0.0;660.0;39;0.0;0.0;38.0;427
PA;1996;0.0;78.0;1.0;348.0;622.0;1.0;310;318.0;174.0;0.0;700.0;38;0.0;0.0;31.0;349
PB;1996;0.0;106.0;0.0;302.0;530.0;0.0;259;234.0;148.0;0.0;636.0;43;0.0;0.0;41.0;275
PE;1996;0.0;245.0;1.0;1529.0;2773.0;1.0;1442;2172.0;1272.0;0.0;3022.0;84;0.0;0.0;150.0;2325
PI;1996;0.0;14.0;0.0;50.0;102.0;0.0;48;38.0;20.0;0.0;117.0;2;0.0;0.0;2.0;40
PR;1996;0.0;154.0;0.0;676.0;1225.0;0.0;599;714.0;438.0;0.0;1379.0;77;0.0;0.0;73.0;787
RJ;1996;0.0;651.0;1.0;3998.0;7369.0;1.0;3747;5581.0;3157.0;0.0;8034.0;248;0.0;0.0;428.0;6017
RN;1996;0.0;35.0;0.0;113.0;206.0;0.0;98;131.0;69.0;0.0;241.0;15;0.0;0.0;12.0;143
RO;1996;0.0;43.0;0.0;105.0;256.0;0.0;89;171.0;69.0;0.0;301.0;16;0.0;0.0;24.0;196
RR;1996;0.0;18.0;0.0;51.0;89.0;0.0;42;45.0;22.0;0.0;107.0;9;0.0;0.0;5.0;50
RS;1996;0.0;192.0;0.0;677.0;1290.0;0.0;593;886.0;492.0;0.0;1482.0;84;0.0;0.0;111.0;997
SC;1996;0.0;67.0;1.0;182.0;345.0;1.0;154;187.0;108.0;0.0;412.0;28;0.0;0.0;26.0;213
SE;1996;0.0;30.0;0.0;121.0;207.0;0.0;108;137.0;7017.0;0.0;238.0;13;0.0;0.0;14.0;152
SP;1996;359.0;959.0;1696.0;6808.0;11361.0;1553.0;6377;5022.0;3173.0;24.0;12320.0;431;143.0;335.0;343.0;5365
TO;1996;0.0;21.0;0.0;53.0;105.0;0.0;48;43.0;23.0;0.0;126.0;5;0.0;0.0;6.0;49
AC;1997;6.0;14.0;7.0;59.0;86.0;7.0;55;49.0;37.0;3.0;100.0;4;0.0;3.0;6.0;55
AL;1997;132.0;62.0;47.0;258.0;580.0;43.0;225;436.0;196.0;8.0;642.0;33;4.0;124.0;43.0;479
AM;1997;380.0;33.0;40.0;277.0;433.0;36.0;257;187.0;124.0;25.0;468.0;19;4.0;353.0;13.0;202
AP;1997;80.0;12.0;15.0;85.0;128.0;13.0;80;51.0;31.0;7.0;140.0;5;2.0;73.0;6.0;57
BA;1997;131.0;175.0;18.0;1093.0;1805.0;14.0;1013;1328.0;850.0;11.0;1981.0;80;4.0;120.0;98.0;1426
CE;1997;298.0;85.0;62.0;495.0;941.0;55.0;462;417.0;250.0;20.0;1026.0;33;7.0;278.0;31.0;448
DF;1997;419.0;48.0;83.0;349.0;565.0;73.0;328;402.0;282.0;31.0;613.0;21;10.0;388.0;30.0;432
ES;1997;283.0;128.0;121.0;725.0;1287.0;105.0;667;887.0;526.0;20.0;1416.0;58;16.0;262.0;67.0;955
GO;1997;137.0;94.0;81.0;327.0;646.0;68.0;293;387.0;207.0;16.0;744.0;32;13.0;121.0;42.0;431
MA;1997;189.0;46.0;41.0;149.0;285.0;33.0;132;127.0;71.0;18.0;333.0;17;8.0;170.0;19.0;148
MG;1997;579.0;179.0;311.0;601.0;1168.0;262.0;532;656.0;387.0;60.0;1347.0;69;49.0;519.0;72.0;728
MS;1997;1.0;71.0;3.0;307.0;652.0;3.0;285;453.0;232.0;0.0;729.0;22;0.0;1.0;38.0;495
MT;1997;235.0;88.0;113.0;302.0;673.0;91.0;268;398.0;189.0;23.0;766.0;34;21.0;212.0;36.0;437
PA;1997;260.0;76.0;30.0;386.0;678.0;28.0;359;371.0;211.0;23.0;754.0;27;2.0;237.0;36.0;407
PB;1997;75.0;42.0;27.0;247.0;449.0;26.0;225;299.0;166.0;8.0;492.0;21;1.0;67.0;27.0;327
PE;1997;624.0;243.0;347.0;2057.0;3463.0;313.0;1954;2850.0;1779.0;37.0;3713.0;98;33.0;586.0;145.0;3000
PI;1997;84.0;13.0;16.0;72.0;129.0;13.0;68;42.0;19.0;8.0;142.0;4;3.0;76.0;4.0;46
PR;1997;70.0;157.0;364.0;718.0;1424.0;328.0;651;832.0;463.0;4.0;1581.0;67;36.0;66.0;64.0;896
RJ;1997;4238.0;646.0;2468.0;4144.0;7298.0;2217.0;3901;5746.0;3413.0;294.0;7954.0;243;250.0;3940.0;408.0;6161
RN;1997;128.0;27.0;66.0;124.0;208.0;54.0;114;139.0;89.0;10.0;235.0;10;12.0;118.0;14.0;153
RO;1997;51.0;33.0;40.0;154.0;322.0;32.0;137;186.0;92.0;4.0;355.0;17;8.0;47.0;20.0;206
RR;1997;15.0;10.0;6.0;42.0;80.0;5.0;37;37.0;23.0;2.0;90.0;5;1.0;13.0;3.0;40
RS;1997;255.0;190.0;1225.0;765.0;1458.0;1081.0;694;1029.0;580.0;23.0;1648.0;71;144.0;232.0;118.0;1147
SC;1997;11.0;51.0;123.0;173.0;372.0;111.0;156;205.0;97.0;1.0;423.0;17;12.0;10.0;20.0;225
SE;1997;50.0;18.0;17.0;106.0;172.0;14.0;97;109.0;7600.0;3.0;190.0;9;3.0;47.0;8.0;117
SP;1997;2206.0;1028.0;2945.0;7036.0;11509.0;2671.0;6534;4973.0;3274.0;151.0;12537.0;502;274.0;2055.0;404.0;5377
TO;1997;33.0;19.0;24.0;47.0;93.0;21.0;40;46.0;26.0;4.0;112.0;7;3.0;29.0;4.0;50
AC;1998;22.0;12.0;11.0;59.0;98.0;10.0;55;53.0;34.0;1.0;110.0;4;1.0;21.0;5.0;58
AL;1998;234.0;45.0;55.0;260.0;537.0;47.0;234;386.0;192.0;18.0;582.0;26;8.0;216.0;28.0;414
AM;1998;449.0;52.0;28.0;342.0;481.0;26.0;309;206.0;139.0;45.0;534.0;33;2.0;404.0;22.0;228
AP;1998;143.0;12.0;11.0;97.0;148.0;8.0;92;64.0;43.0;9.0;160.0;5;3.0;134.0;7.0;71
BA;1998;273.0;101.0;47.0;656.0;1169.0;44.0;616;760.0;462.0;24.0;1271.0;39;3.0;248.0;38.0;799
CE;1998;316.0;56.0;108.0;474.0;889.0;97.0;447;457.0;251.0;11.0;946.0;27;11.0;305.0;26.0;483
DF;1998;452.0;54.0;86.0;381.0;579.0;73.0;354;439.0;316.0;37.0;633.0;27;13.0;415.0;35.0;474
ES;1998;360.0;163.0;178.0;880.0;1508.0;156.0;816;1066.0;669.0;32.0;1675.0;64;22.0;328.0;93.0;1161
GO;1998;193.0;76.0;84.0;325.0;616.0;71.0;294;390.0;217.0;12.0;704.0;24;12.0;180.0;36.0;434
MA;1998;196.0;30.0;34.0;131.0;247.0;29.0;118;121.0;68.0;18.0;278.0;13;5.0;177.0;9.0;130
MG;1998;792.0;201.0;420.0;729.0;1310.0;363.0;648;788.0;480.0;92.0;1511.0;81;57.0;700.0;77.0;865
MS;1998;10.0;73.0;13.0;306.0;595.0;10.0;268;376.0;210.0;2.0;670.0;38;3.0;8.0;41.0;418
MT;1998;411.0;93.0;200.0;356.0;737.0;176.0;311;490.0;255.0;46.0;832.0;44;23.0;364.0;46.0;537
PA;1998;517.0;67.0;66.0;438.0;707.0;56.0;410;407.0;240.0;45.0;774.0;28;10.0;472.0;29.0;436
PB;1998;87.0;41.0;31.0;239.0;414.0;25.0;215;267.0;165.0;5.0;455.0;24;6.0;82.0;24.0;291
PE;1998;1171.0;277.0;545.0;2560.0;4141.0;485.0;2437;3453.0;2221.0;65.0;4423.0;122;60.0;1106.0;196.0;3651
PI;1998;90.0;20.0;20.0;74.0;119.0;15.0;66;35.0;23.0;12.0;140.0;8;5.0;78.0;4.0;40
PR;1998;254.0;178.0;944.0;762.0;1447.0;827.0;693;893.0;513.0;22.0;1625.0;69;117.0;232.0;68.0;961
RJ;1998;3891.0;560.0;2452.0;4008.0;7000.0;2246.0;3783;5570.0;3328.0;255.0;7573.0;223;202.0;3631.0;398.0;5978
RN;1998;126.0;20.0;45.0;124.0;202.0;37.0;115;131.0;83.0;7.0;222.0;9;8.0;119.0;9.0;140
RO;1998;112.0;45.0;83.0;209.0;449.0;72.0;189;290.0;141.0;7.0;494.0;20;11.0;105.0;21.0;311
RR;1998;100.0;12.0;23.0;64.0;122.0;20.0;59;46.0;31.0;9.0;134.0;5;3.0;91.0;7.0;53
RS;1998;261.0;181.0;1156.0;716.0;1343.0;1019.0;641;958.0;546.0;30.0;1524.0;75;137.0;231.0;100.0;1058
SC;1998;36.0;69.0;223.0;176.0;345.0;179.0;148;171.0;95.0;2.0;414.0;28;44.0;34.0;27.0;198
SE;1998;84.0;13.0;14.0;87.0;162.0;12.0;84;99.0;8310.0;5.0;175.0;3;2.0;79.0;6.0;105
SP;1998;5785.0;1034.0;6864.0;8020.0;12952.0;6291.0;7502;5920.0;3833.0;351.0;13986.0;518;573.0;5434.0;382.0;6302
TO;1998;65.0;19.0;37.0;51.0;110.0;33.0;41;65.0;30.0;12.0;129.0;10;4.0;53.0;13.0;78
AC;1999;17.0;7.0;15.0;26.0;44.0;12.0;22;12.0;6.0;2.0;51.0;4;3.0;15.0;2.0;14
AL;1999;368.0;55.0;54.0;273.0;499.0;47.0;252;353.0;202.0;30.0;554.0;21;7.0;338.0;29.0;382
AM;1999;467.0;51.0;38.0;316.0;475.0;33.0;292;203.0;137.0;45.0;527.0;24;4.0;422.0;19.0;222
AP;1999;179.0;17.0;11.0;124.0;175.0;10.0;113;55.0;41.0;16.0;192.0;11;1.0;163.0;5.0;60
BA;1999;346.0;88.0;97.0;475.0;823.0;88.0;442;520.0;313.0;41.0;913.0;33;9.0;305.0;31.0;551
CE;1999;552.0;91.0;164.0;512.0;1012.0;145.0;478;497.0;262.0;34.0;1104.0;34;19.0;518.0;31.0;528
DF;1999;480.0;60.0;98.0;402.0;598.0;83.0;371;420.0;310.0;40.0;659.0;31;15.0;440.0;34.0;454
ES;1999;599.0;128.0;230.0;815.0;1396.0;208.0;752;1041.0;664.0;45.0;1524.0;63;22.0;554.0;80.0;1121
GO;1999;274.0;117.0;188.0;416.0;733.0;148.0;366;472.0;290.0;28.0;853.0;50;40.0;245.0;60.0;534
MA;1999;149.0;27.0;41.0;113.0;233.0;37.0;105;95.0;44.0;14.0;262.0;7;3.0;135.0;7.0;102
MG;1999;842.0;222.0;437.0;792.0;1373.0;368.0;693;650.0;413.0;110.0;1596.0;98;69.0;732.0;74.0;725
MS;1999;137.0;63.0;156.0;264.0;508.0;137.0;240;315.0;169.0;13.0;571.0;24;19.0;124.0;36.0;351
MT;1999;421.0;71.0;223.0;337.0;751.0;200.0;304;441.0;218.0;34.0;822.0;33;23.0;387.0;35.0;476
PA;1999;494.0;39.0;67.0;314.0;601.0;66.0;297;325.0;175.0;31.0;642.0;16;1.0;462.0;18.0;344
PB;1999;118.0;34.0;47.0;202.0;369.0;34.0;189;237.0;138.0;7.0;403.0;13;13.0;111.0;19.0;256
PE;1999;2329.0;265.0;583.0;2414.0;3949.0;528.0;2282;3401.0;2166.0;143.0;4217.0;130;55.0;2186.0;206.0;3610
PI;1999;91.0;7.0;18.0;75.0;126.0;18.0;71;55.0;33.0;6.0;133.0;4;0.0;85.0;1.0;56
PR;1999;292.0;182.0;1151.0;813.0;1522.0;1025.0;749;945.0;580.0;30.0;1706.0;64;126.0;262.0;81.0;1027
RJ;1999;3994.0;543.0;2446.0;3876.0;6695.0;2212.0;3650;5607.0;3365.0;265.0;7261.0;225;232.0;3726.0;380.0;6002
RN;1999;135.0;24.0;57.0;84.0;200.0;50.0;78;123.0;58.0;13.0;224.0;6;7.0;122.0;15.0;138
RO;1999;168.0;38.0;109.0;171.0;392.0;96.0;155;298.0;129.0;15.0;432.0;16;12.0;153.0;23.0;322
RR;1999;88.0;15.0;57.0;77.0;139.0;49.0;73;54.0;34.0;6.0;154.0;4;8.0;82.0;6.0;60
RS;1999;270.0;163.0;1173.0;779.0;1370.0;1039.0;711;995.0;596.0;21.0;1533.0;68;134.0;249.0;90.0;1085
SC;1999;45.0;50.0;259.0;147.0;335.0;217.0;128;160.0;77.0;1.0;385.0;19;42.0;44.0;19.0;179
SE;1999;114.0;40.0;39.0;168.0;288.0;32.0;149;194.0;9347.0;12.0;329.0;18;7.0;101.0;21.0;216
SP;1999;6594.0;1123.0;8367.0;9019.0;14640.0;7723.0;8490;7567.0;4905.0;412.0;15763.0;529;644.0;6182.0;450.0;8017
TO;1999;69.0;16.0;46.0;68.0;121.0;43.0;57;64.0;38.0;9.0;137.0;11;3.0;60.0;6.0;70
AC;2000;51.0;13.0;49.0;67.0;93.0;44.0;58;35.0;21.0;7.0;106.0;9;5.0;44.0;4.0;39
AL;2000;533.0;64.0;102.0;395.0;663.0;92.0;365;234.0;277.0;46.0;727.0;30;10.0;487.0;33.0;484
AM;2000;482.0;36.0;48.0;352.0;516.0;42.0;331;437.0;165.0;28.0;552.0;21;6.0;454.0;13.0;247
AP;2000;128.0;4.0;12.0;107.0;152.0;12.0;105;43.0;24.0;4.0;156.0;2;0.0;124.0;2.0;33
BA;2000;892.0;132.0;94.0;666.0;1108.0;79.0;607;31.0;451.0;90.0;1242.0;59;15.0;802.0;59.0;766
CE;2000;708.0;106.0;211.0;620.0;1131.0;182.0;577;89.0;340.0;51.0;1238.0;43;29.0;656.0;54.0;657
DF;2000;565.0;41.0;104.0;407.0;644.0;97.0;388;129.0;334.0;32.0;687.0;19;7.0;533.0;23.0;501
ES;2000;673.0;113.0;260.0;744.0;1322.0;237.0;692;96.0;576.0;49.0;1435.0;52;23.0;624.0;63.0;1004
GO;2000;526.0;142.0;320.0;548.0;940.0;269.0;482;603.0;406.0;53.0;1085.0;65;51.0;472.0;71.0;706
MA;2000;254.0;32.0;60.0;187.0;320.0;56.0;170;138.0;64.0;24.0;352.0;17;4.0;230.0;12.0;141
MG;2000;1251.0;252.0;643.0;1166.0;1857.0;541.0;1058;451.0;900.0;125.0;2109.0;108;102.0;1126.0;117.0;1420
MS;2000;303.0;72.0;297.0;314.0;577.0;259.0;281;3405.0;246.0;30.0;651.0;33;38.0;273.0;41.0;448
MT;2000;608.0;81.0;336.0;422.0;909.0;303.0;396;340.0;325.0;47.0;990.0;26;33.0;561.0;43.0;691
PA;2000;658.0;63.0;95.0;418.0;743.0;88.0;388;261.0;247.0;55.0;806.0;30;7.0;603.0;24.0;461
PB;2000;383.0;44.0;59.0;297.0;463.0;52.0;277;705.0;227.0;32.0;507.0;20;7.0;351.0;32.0;372
PE;2000;3205.0;310.0;546.0;2470.0;3980.0;476.0;2317;941.0;2190.0;202.0;4290.0;153;70.0;3003.0;212.0;3617
PI;2000;147.0;14.0;36.0;126.0;214.0;33.0;118;5744.0;55.0;8.0;230.0;7;3.0;138.0;2.0;98
PR;2000;353.0;164.0;1379.0;892.0;1623.0;1242.0;833;1303.0;620.0;22.0;1789.0;59;137.0;331.0;76.0;1093
RJ;2000;4271.0;540.0;2694.0;3982.0;6795.0;2447.0;3761;9043.0;3459.0;265.0;7350.0;220;246.0;4003.0;375.0;6126
RN;2000;171.0;22.0;61.0;122.0;235.0;50.0;109;1015.0;79.0;10.0;257.0;13;11.0;161.0;9.0;147
RO;2000;252.0;46.0;123.0;210.0;419.0;109.0;191;259.0;127.0;22.0;466.0;19;14.0;230.0;18.0;277
RR;2000;101.0;22.0;28.0;68.0;108.0;18.0;59;1159.0;28.0;12.0;130.0;9;10.0;89.0;4.0;47
RS;2000;272.0;175.0;1363.0;800.0;1491.0;1216.0;747;196.0;662.0;22.0;1668.0;53;147.0;250.0;91.0;1250
SC;2000;56.0;53.0;332.0;172.0;380.0;292.0;154;407.0;99.0;9.0;433.0;18;40.0;47.0;26.0;222
SE;2000;186.0;37.0;67.0;218.0;373.0;62.0;208;633.0;157.0;15.0;410.0;10;5.0;171.0;18.0;279
SP;2000;6407.0;1150.0;8850.0;9249.0;14441.0;8110.0;8705;648.0;6116.0;378.0;15591.0;544;740.0;6029.0;599.0;9642
TO;2000;113.0;16.0;57.0;86.0;160.0;52.0;81;477.0;57.0;10.0;176.0;5;5.0;103.0;8.0;97
AC;2001;70.0;12.0;35.0;72.0;109.0;31.0;64;51.0;36.0;5.0;121.0;8;4.0;65.0;3.0;54
AL;2001;589.0;54.0;106.0;480.0;775.0;95.0;456;184.0;369.0;31.0;830.0;23;11.0;557.0;29.0;604
AM;2001;416.0;55.0;58.0;285.0;430.0;50.0;258;497.0;124.0;45.0;485.0;27;8.0;371.0;15.0;199
AP;2001;164.0;12.0;15.0;115.0;170.0;13.0;108;41.0;21.0;9.0;182.0;7;2.0;155.0;1.0;43
BA;2001;1211.0;122.0;145.0;887.0;1500.0;132.0;848;42.0;702.0;81.0;1622.0;39;13.0;1130.0;50.0;1129
CE;2001;696.0;114.0;185.0;651.0;1170.0;164.0;604;120.0;343.0;58.0;1284.0;47;21.0;638.0;43.0;638
DF;2001;583.0;44.0;95.0;447.0;649.0;87.0;419;202.0;362.0;34.0;693.0;28;8.0;549.0;25.0;495
ES;2001;738.0;132.0;255.0;784.0;1319.0;222.0;723;95.0;609.0;58.0;1452.0;60;33.0;680.0;80.0;1019
GO;2001;667.0;131.0;348.0;591.0;1035.0;306.0;533;595.0;420.0;61.0;1167.0;58;42.0;606.0;64.0;752
MA;2001;439.0;54.0;97.0;296.0;509.0;81.0;271;202.0;120.0;36.0;563.0;25;16.0;403.0;19.0;221
MG;2001;1423.0;241.0;767.0;1255.0;2124.0;673.0;1153;575.0;957.0;119.0;2366.0;102;94.0;1304.0;97.0;1558
MS;2001;308.0;64.0;294.0;267.0;555.0;265.0;235;3748.0;190.0;31.0;621.0;32;29.0;277.0;35.0;395
MT;2001;629.0;92.0;309.0;427.0;880.0;276.0;384;323.0;286.0;56.0;973.0;43;33.0;573.0;42.0;582
PA;2001;799.0;97.0;116.0;515.0;869.0;96.0;469;347.0;289.0;74.0;966.0;46;20.0;725.0;46.0;543
PB;2001;329.0;45.0;56.0;288.0;439.0;47.0;264;1079.0;211.0;31.0;484.0;24;9.0;298.0;23.0;346
PE;2001;3647.0;294.0;546.0;2744.0;4409.0;491.0;2616;939.0;2442.0;206.0;4710.0;127;55.0;3441.0;194.0;3949
PI;2001;179.0;35.0;41.0;133.0;226.0;34.0;113;5740.0;64.0;24.0;262.0;20;7.0;155.0;7.0;102
PR;2001;358.0;197.0;1639.0;1041.0;1852.0;1469.0;946;1461.0;731.0;24.0;2052.0;95;169.0;333.0;101.0;1269
RJ;2001;4309.0;566.0;2514.0;3962.0;6767.0;2306.0;3726;10006.0;3511.0;306.0;7362.0;236;206.0;4003.0;384.0;6134
RN;2001;221.0;24.0;63.0;156.0;297.0;58.0;140;1165.0;108.0;17.0;322.0;16;5.0;204.0;14.0;216
RO;2001;310.0;65.0;201.0;240.0;508.0;178.0;208;343.0;157.0;35.0;573.0;32;23.0;275.0;34.0;377
RR;2001;82.0;7.0;22.0;51.0;101.0;21.0;48;1241.0;20.0;6.0;108.0;3;1.0;76.0;1.0;42
RS;2001;317.0;180.0;1498.0;880.0;1674.0;1342.0;807;244.0;719.0;17.0;1854.0;73;156.0;300.0;102.0;1343
SC;2001;68.0;60.0;361.0;214.0;417.0;320.0;189;358.0;133.0;7.0;477.0;25;41.0;61.0;25.0;269
SE;2001;271.0;31.0;86.0;298.0;487.0;80.0;291;687.0;228.0;15.0;518.0;7;6.0;256.0;19.0;366
SP;2001;6475.0;1100.0;9000.0;9193.0;14669.0;8301.0;8655;539.0;6588.0;379.0;15773.0;538;699.0;6096.0;618.0;10625
TO;2001;140.0;23.0;69.0;89.0;189.0;60.0;79;470.0;60.0;14.0;212.0;10;9.0;126.0;11.0;131
